1005882,Y,2019-04-21,fitzgeraldjb,512775,"pou12 protein, zebrafish","pou12 protein, zebrafish",643203,P,512775,"pou3f3a protein, zebrafish","pou12 protein, zebrafish",643203,T,
1005884,Y,2019-04-21,fitzgeraldjb,512834,"postn protein, zebrafish","postn protein, zebrafish",655015,P,512834,"postnb protein, zebrafish","postn protein, zebrafish",655015,T,
1005886,Y,2019-04-21,fitzgeraldjb,513257,"prdm1 protein, zebrafish","prdm1 protein, zebrafish",662733,P,513257,"prdm1a protein, zebrafish","prdm1 protein, zebrafish",662733,T,
1005888,Y,2019-04-21,fitzgeraldjb,514537,"santa protein, zebrafish","santa protein, zebrafish",685411,P,514537,"krit1 protein, zebrafish","santa protein, zebrafish",685411,T,
1005890,Y,2019-04-21,fitzgeraldjb,516331,"Prdc protein, zebrafish","Prdc protein, zebrafish",689680,P,516331,"grem2b protein, zebrafish","Prdc protein, zebrafish",689680,T,
1005892,Y,2019-04-21,fitzgeraldjb,518907,"Raldh2 protein, zebrafish","Raldh2 protein, zebrafish",695804,P,518907,"Aldh1a2 protein, zebrafish","Raldh2 protein, zebrafish",695804,T,
1005894,Y,2019-04-21,fitzgeraldjb,521130,"prestin protein, zebrafish","prestin protein, zebrafish",701857,P,521130,"slc26a5 protein, zebrafish","prestin protein, zebrafish",701857,T,
1005896,Y,2019-04-21,fitzgeraldjb,521431,"RORA protein, zebrafish","RORA protein, zebrafish",702938,P,521431,"roraa protein, zebrafish","RORA protein, zebrafish",702938,T,
1005898,Y,2019-04-21,fitzgeraldjb,524558,"purpurin protein, zebrafish","purpurin protein, zebrafish",710234,P,524558,"rbp4l protein, zebrafish","purpurin protein, zebrafish",710234,T,
1005900,Y,2019-04-21,fitzgeraldjb,525249,"Rep1 protein, zebrafish","Rep1 protein, zebrafish",711808,P,525249,"chm protein, zebrafish","Rep1 protein, zebrafish",711808,T,
1005902,Y,2019-04-21,fitzgeraldjb,529162,"Raldh3 protein, zebrafish","Raldh3 protein, zebrafish",720473,P,529162,"aldh1a3 protein, zebrafish","Raldh3 protein, zebrafish",720473,T,
1015675,Y,2019-06-09,fitzgeraldjb,472019,"beached protein, Drosophila","beached protein, Drosophila",535344,P,472019,"bchs protein, Drosophila","beached protein, Drosophila",535344,T,
1016867,R,2019-06-12,fitzgeraldjb,558165,artefenomel,0,,,558165,artefenomel,RIK029813G,,,
1015679,Y,2019-06-09,fitzgeraldjb,472307,"fat protein, Drosophila","fat protein, Drosophila",536058,P,472307,"ft protein, Drosophila","fat protein, Drosophila",536058,T,
1016983,Y,2019-06-12,fitzgeraldjb,495947,"PINCH protein, Drosophila","PINCH protein, Drosophila",629716,P,495947,"stck protein, Drosophila","PINCH protein, Drosophila",629716,T,
1015683,Y,2019-06-09,fitzgeraldjb,472498,"rho-2 protein, Drosophila","rho-2 protein, Drosophila",536651,P,472498,"Stet protein, Drosophila","rho-2 protein, Drosophila",536651,T,
1016985,Y,2019-06-12,fitzgeraldjb,495958,"hybrid male rescue protein, Drosophila","hybrid male rescue protein, Drosophila",629741,P,495958,"Hmr protein, Drosophila","hybrid male rescue protein, Drosophila",629741,T,
1015687,Y,2019-06-09,fitzgeraldjb,472859,"tincar protein, Drosophila","tincar protein, Drosophila",537707,P,472859,"tinc protein, Drosophila","tincar protein, Drosophila",537707,T,
1015691,Y,2019-06-09,fitzgeraldjb,472925,"distal antenna protein, Drosophila","distal antenna protein, Drosophila",537782,P,472925,"dan protein, Drosophila","distal antenna protein, Drosophila",537782,T,
1016989,Y,2019-06-12,fitzgeraldjb,496049,"Fak56D protein, Drosophila","Fak56D protein, Drosophila",580992,P,496049,"Fak protein, Drosophila","Fak56D protein, Drosophila",580992,T,
1015695,Y,2019-06-09,fitzgeraldjb,472926,"distal antenna-related protein, Drosophila","distal antenna-related protein, Drosophila",537784,P,472926,"danr protein, Drosophila","distal antenna-related protein, Drosophila",537784,T,
1016991,Y,2019-06-12,fitzgeraldjb,496261,"phantom protein, Drosophila","phantom protein, Drosophila",650756,P,496261,"Phm protein, Drosophila","phantom protein, Drosophila",650756,T,
1015699,Y,2019-06-09,fitzgeraldjb,473070,"beta-4-galactosyltransferase 7 protein, Drosophila","beta-4-galactosyltransferase 7 protein, Drosophila",573104,P,473070,"beta4GalT7 protein, Drosophila","beta-4-galactosyltransferase 7 protein, Drosophila",573104,T,
1020882,Y,2019-06-23,meyerstokesar,525113,"dicalcin protein, Xenopus","dicalcin protein, Xenopus",711629,P,525113,"S100A11 protein, Xenopus","dicalcin protein, Xenopus",711629,T,
1018765,Y,2019-06-16,fitzgeraldjb,553193,"MCRS2 protein, Drosophila","MCRS2 protein, Drosophila",780045,P,553193,"Rcd5 protein, Drosophila","MCRS2 protein, Drosophila",780045,T,
1018767,Y,2019-06-16,fitzgeraldjb,553413,"kune-kune protein, Drosophila","kune-kune protein, Drosophila",780523,P,553413,"kune protein, Drosophila","kune-kune protein, Drosophila",780523,T,
1018769,Y,2019-06-16,fitzgeraldjb,553463,"Apt1 protein, Drosophila","Apt1 protein, Drosophila",780649,P,553463,"CG18815 protein, Drosophila","Apt1 protein, Drosophila",780649,T,
1018771,Y,2019-06-16,fitzgeraldjb,553663,"waharan protein, Drosophila","waharan protein, Drosophila",781089,P,553663,"NSL1 protein, Drosophila","waharan protein, Drosophila",781089,T,
1022143,Y,2019-06-27,fitzgeraldjb,112614,"MMP-H19 protein, C elegans","MMP-H19 protein, C elegans",558438,P,112614,"ZMP-2 protein, C elegans","MMP-H19 protein, C elegans",558438,T,
1022145,Y,2019-06-27,fitzgeraldjb,112615,"MMP-Y19 protein, C elegans","MMP-Y19 protein, C elegans",558439,P,112615,"zmp-1 protein, C elegans","MMP-Y19 protein, C elegans",558439,T,
1022147,Y,2019-06-27,fitzgeraldjb,113069,"opt-1 protein, C elegans","opt-1 protein, C elegans",558859,P,113069,"pept-2 protein, C elegans","opt-1 protein, C elegans",558859,T,
1022151,Y,2019-06-27,fitzgeraldjb,113520,"SUR-8 protein, C elegans","SUR-8 protein, C elegans",523704,P,113520,"soc-2 protein, C elegans","SUR-8 protein, C elegans",523704,T,
1022153,Y,2019-06-27,fitzgeraldjb,115798,"ceBNIP3 protein, C elegans","ceBNIP3 protein, C elegans",328004,P,115798,"DCT-1 protein, C elegans","ceBNIP3 protein, C elegans",328004,T,
1022155,Y,2019-06-27,fitzgeraldjb,117264,"COG-2 protein, C elegans","COG-2 protein, C elegans",331090,P,117264,"cogc-2 protein, C elegans","COG-2 protein, C elegans",331090,T,
1022157,Y,2019-06-27,fitzgeraldjb,118999,"BIR1 protein, C elegans","BIR1 protein, C elegans",509903,P,118999,"bir-1 protein, C elegans","BIR1 protein, C elegans",509903,T,
1022159,Y,2019-06-27,fitzgeraldjb,119000,"BIR2 protein, C elegans","BIR2 protein, C elegans",509921,P,119000,"bir-2 protein, C elegans","BIR2 protein, C elegans",509921,T,
1006761,W,2019-05-01,twd,61537,dehydrooogoniol,dehydrooogoniol,200624,P,61537,dehydroogoniol,dehydroogoniol,956569,P,
1006764,W,2019-05-01,twd,62085,glucose-6-phosphate dehydrogenase Thesssaloniki,glucose-6-phosphate dehydrogenase Thesssaloniki,201982,P,62085,glucose-6-phosphate dehydrogenase Thessaloniki,glucose-6-phosphate dehydrogenase Thessaloniki,956570,P,
1006767,W,2019-05-01,twd,65406,5-fluorodihydrooorotate,5-fluorodihydrooorotate,209885,P,65406,5-fluorodihydroorotate,5-fluorodihydroorotate,956571,P,
