,L,2019-12-03,480122,Inotuzumab Ozogamicin,Inotuzumab Ozogamicin,P,634605,,80045,Inotuzumab Ozogamicin,Inotuzumab Ozogamicin,P,634605,
,L,2019-12-03,654632,inebilizumab,inebilizumab,P,995901,,609745,inebilizumab,inebilizumab,P,965859,
,Y,2019-12-03,16759,"C4 protein, mouse","C4 protein, mouse",P,575861,,16759,"C4b protein, mouse","C4 protein, mouse",T,575861,
,Y,2019-12-03,508321,"Agc1 protein, rat","Agc1 protein, rat",P,608022,,508321,"Acan protein, rat","Agc1 protein, rat",T,608022,
,Y,2019-12-03,607858,"AIDA-1 protein, rat","AIDA-1 protein, rat",P,901678,,607858,"Anks1b protein, rat","AIDA-1 protein, rat",T,901678,
,Y,2019-12-03,568769,"Amica1 protein, rat","Amica1 protein, rat",P,814733,,568769,"Jaml protein, rat","Amica1 protein, rat",T,814733,
,Y,2019-12-03,495993,"Aox3l1 protein, rat","Aox3l1 protein, rat",P,793955,,495993,"Aox2 protein, rat","Aox3l1 protein, rat",T,793955,
,Y,2019-12-03,627645,"Apela protein, rat","Apela protein, rat",P,944956,,627645,"LOC100912649 protein, rat","Apela protein, rat",T,944956,
,Y,2019-12-03,461539,"protein-arginine deiminase type II, rat","protein-arginine deiminase type II, rat",P,509082,,461539,"Padi2 protein, rat","protein-arginine deiminase type II, rat",T,509082,
,Y,2019-12-03,585492,"CTR2 protein, mouse","CTR2 protein, mouse",P,853051,,585492,"Slc31a2 protein, mouse","CTR2 protein, mouse",T,853051,
,Y,2019-12-03,590693,"Ctr2 protein, rat","Ctr2 protein, rat",P,864555,,590693,"Slc31a2 protein, rat","Ctr2 protein, rat",T,864555,
,Y,2019-12-03,504816,"MARCH6 protein, human","MARCH6 protein, human",P,699369,,504816,"MARCHF6 protein, human","MARCH6 protein, human",T,699369,
,Y,2019-12-03,502926,"MARCH2 protein, human","MARCH2 protein, human",P,660913,,502926,"MARCHF2 protein, human","MARCH2 protein, human",T,660913,
,Y,2019-12-03,521293,8-hydroxy-dGTP,8-hydroxy-dGTP,P,702447,,521293,8-hydroxy-2'-deoxyguanosine 5'-triphosphate,8-hydroxy-dGTP,T,702447,
,Y,2019-12-03,485812,"Caps protein, rat","Caps protein, rat",P,581872,,485812,"Cadps protein, rat","Caps protein, rat",T,581872,
,Y,2019-12-03,548249,"Car4 protein, rat","Car4 protein, rat",P,768300,,548249,"Ca4 protein, rat","Car4 protein, rat",T,768300,
,Y,2019-12-03,526285,"Car9 protein, rat","Car9 protein, rat",P,894002,,526285,"Ca9 protein, rat","Car9 protein, rat",T,894002,
,Y,2019-12-03,588924,"Carkd protein, rat","Carkd protein, rat",P,860718,,588924,"Naxd protein, rat","Carkd protein, rat",T,860718,
,Y,2019-12-03,486454,"Ctr1 protein, zebrafish","Ctr1 protein, zebrafish",P,589251,,486454,"Slc31a1 protein, zebrafish","Ctr1 protein, zebrafish",T,589251,
,Y,2019-12-03,491807,"Rad51l3 protein, mouse","Rad51l3 protein, mouse",P,334148,,491807,"Rad51d protein, mouse","Rad51l3 protein, mouse",T,334148,
