,M,2019-12-03,26538,"cascara, cinchona, frangula, Phenolphthalein, rheum drug combination",T,775219,cascara - cinchona - frangula - phenolphthalein - rheum,,,,,,Y,4642,14188,Emodin,,Deleted terms / Parent replaced,
,M,2019-12-03,28178,gossypol acetic acid,T,714206,AT101 cpd,,,,,,Y,28178,120955,gossypol acetic acid,,Deleted terms / Replaced Preffered String,
,D,2019-12-03,31964,ribosomal protein L10,T,130090,L10 ribosomal protein,,,,,,N,,,,,,
,A,2019-12-03,,,,,,630964,"Fae1 protein, Arabidopsis",P,635336,"Fae1 protein, Arabidopsis",N,,,,CH,,
,D,2019-12-03,20138,fatty acid elongases,T,635337,"Fatty acid elongase 1, Arabidopsis",,,,,,N,,,,,,
,M,2019-12-03,20138,fatty acid elongases,T,635336,"Fae1 protein, Arabidopsis",630964,"Fae1 protein, Arabidopsis",P,635336,"Fae1 protein, Arabidopsis",N,,,,,Relocated CHEM UI,
,A,2019-12-03,,,,,,630964,"Fae1 protein, Arabidopsis",T,635337,"Fatty acid elongase 1, Arabidopsis",N,,,,CH,,
,M,2019-12-03,20138,fatty acid elongases,T,635337,"Fatty acid elongase 1, Arabidopsis",630964,"Fae1 protein, Arabidopsis",T,635337,"Fatty acid elongase 1, Arabidopsis",N,,,,,Relocated CHEM UI,
,D,2019-12-03,31964,ribosomal protein L10,T,724254,"Rpl10 protein, mouse",,,,,,N,,,,,,
,A,2019-12-03,,,,,,630690,"Rpl10 protein, mouse",P,724254,"Rpl10 protein, mouse",N,,,,CH,,
,M,2019-12-03,31964,ribosomal protein L10,T,724254,"Rpl10 protein, mouse",630690,"Rpl10 protein, mouse",P,724254,"Rpl10 protein, mouse",N,,,,,Relocated CHEM UI,
,D,2019-12-03,31964,ribosomal protein L10,T,724255,"ribosomal protein 10, mouse",,,,,,N,,,,,,
,A,2019-12-03,,,,,,630690,"Rpl10 protein, mouse",T,724255,"ribosomal protein 10, mouse",N,,,,CH,,
,M,2019-12-03,31964,ribosomal protein L10,T,724255,"ribosomal protein 10, mouse",630690,"Rpl10 protein, mouse",T,724255,"ribosomal protein 10, mouse",N,,,,,Relocated CHEM UI,
,D,2019-12-03,119840,"sox21a protein, zebrafish",T,717403,"sox21b protein, zebrafish",,,,,,N,,,,,,
,A,2019-12-03,,,,,,630946,"sox21b protein, zebrafish",P,717403,"sox21b protein, zebrafish",N,,,,CH,,
,M,2019-12-03,119840,"sox21a protein, zebrafish",T,717403,"sox21b protein, zebrafish",630946,"sox21b protein, zebrafish",P,717403,"sox21b protein, zebrafish",N,,,,,Relocated CHEM UI,
